990611,2317.84
295594,5013.90
715145,6044.89
501496,427.99
260444,6558.41
274483,9901.68
854969,5397.83
372700,6256.04
196462,2839.35
643128,2521.54
942186,3164.96
172823,132.03
109781,1036.62
616250,8793.57
136044,3857.36
339902,5506.47
900009,2414.35
147431,6654.83
712130,7212.14
550502,3645.82
259242,107.38
701016,6102.89
823463,7422.66
255124,7350.81
899197,4922.35
915187,9792.09
121519,9069.47
724690,3610.51
740312,2825.74
325112,7312.08
839478,1120.38
356647,614.75
540688,1279.65
702825,432.65
643353,7650.72
313897,5892.19
531921,4626.78
921774,7957.60
543640,5187.29
927767,6105.68
730890,6622.89
803242,2298.74
952433,7491.37
591090,341.78
264479,4317.13
663983,8637.62
527390,3502.63
761237,9141.91
234277,3555.49
626088,1338.54
460394,2011.43
915647,4695.67
446850,4077.45
160936,3603.80
361109,9103.52
728348,1248.37
113781,1395.90
174475,8210.92
807761,3526.04
852599,5670.73
489091,6844.57
237112,3574.92
697683,9948.23
528776,9920.42
288788,5863.43
284721,2643.71
749778,4391.86
960959,4395.26
976686,8753.50
568973,9615.30
118926,6738.94
947607,8089.75
115656,5371.66
172396,5855.47
379394,8491.88
375828,9158.17
591918,8617.17
707487,6839.94
482616,1602.06
494991,4680.24
256920,7406.56
533776,2707.54
955617,6889.59
485899,5144.98
531035,805.21
402316,5425.08
395426,2038.92
767880,6667.77
709899,8389.15
685324,5740.54
869874,9195.72
222025,4885.96
555229,5639.33
214442,8013.97
844681,2612.43
490500,4762.50
176506,8058.06
224246,437.60
433475,6439.23
884463,849.75
713689,9433.27
451348,4536.78
353177,7462.56
135719,4974.85
798427,224.40
787656,4549.38
807358,1695.63
290530,7953.77
590637,826.61
396322,8367.10
133400,9647.10
522441,250.78
205805,9403.05
826687,3149.77
347509,2007.99
267522,2570.77
491883,8468.29
905580,9599.12
581095,4530.65
333285,2474.37
445454,1532.26
726988,5928.90
748354,4220.49
966082,4195.62
664875,1123.52
109043,1530.50
311984,6533.05
838471,982.21
467221,6990.92
185961,5608.25
286744,8994.53
348372,6137.96
239988,938.30
728920,4655.15
535050,5857.42
747873,1894.36
576638,4895.92
345324,1707.71
626227,2124.93
474807,3370.35
735760,4463.34
786129,1979.74
734468,742.65
791654,787.38
867735,7069.34
857937,5008.98
963373,7580.90
233037,3916.01
153713,5878.72
588316,8080.08
711527,1096.69
469323,6926.23
340069,2170.62
136116,4729.29
118738,8284.78
220406,6309.91
814609,4872.81
754570,6697.60
664585,4793.64
289352,3387.30
821448,1399.20
466673,4285.08
611978,132.49
948132,843.41
547742,8362.07
852279,2569.28
605396,9733.02
794116,6500.46
318736,4299.74
797469,5429.17
868538,3218.02
998586,9878.03
450823,9599.33
702078,5396.40
185886,8345.08
371146,4605.72
695050,6840.60
793100,5808.93
454766,3170.43
